,LONGITUDE,TIME,LOCATION,CRIME,LATITUDE
236,-77.0017621985,evening,200 - 299 block of wayne place se,assault w/dangerous weapon,38.8346232449
237,-77.0106290242,midnight,1 - 99 block of h street nw,theft/other,38.9002039928
238,-76.9816412617,day,1500 - 1699 block of channing street ne,motor vehicle theft,38.9227509086
239,-77.0245692132,evening,400 - 999 block of l'enfant plaza sw,theft/other,38.8838828674
240,-76.9363232129,day,4500 - 4699 block of dix street ne,theft f/auto,38.8944487939
241,-77.023423709,day,3200 - 3218 block of georgia avenue nw,burglary,38.9302989711
242,-76.94765293,midnight,4000 - 4121 block of minnesota avenue ne,assault w/dangerous weapon,38.8966524619
243,-76.9973129329,evening,600 - 699 block of girard street ne,theft f/auto,38.92649978
244,-76.9184557261,evening,5700 - 5799 block of dix street ne,theft f/auto,38.8945998383
245,-77.0209197405,midnight,600 - 699 block of maryland avenue sw,theft f/auto,38.8865999657
246,-77.009063883,evening,4000 - 4099 block of south capitol terrace sw,theft f/auto,38.8307042257
247,-76.9860222795,evening,3000 - 3099 block of 14th street ne,theft/other,38.9283276626
248,-77.0013027713,midnight,1100 - 1199 block of abbey place ne,motor vehicle theft,38.9046816213
249,-77.0494760323,day,2200 - 2299 block of i street nw,theft/other,38.900698828
250,-76.9503375994,midnight,600 - 629 block of kenilworth terrace ne,motor vehicle theft,38.8984823319
251,-77.0380812,day,1615 - 1699 block of rhode island avenue nw,theft/other,38.906702301
252,-77.0363931448,day,6100  - 6199 block of 16th street nw,theft f/auto,38.9651216585
253,-76.9839379057,evening,1400 - 1498 block of okie street ne,robbery,38.9147518517
254,-76.9286018076,evening,1000 - 1099 block of 50th street ne,theft f/auto,38.9040832774
255,-76.967781371,evening,1700 - 1899 block of 28th street se,burglary,38.8685625898
256,-77.0270423664,day,2500 - 2599 block of 11th street nw,motor vehicle theft,38.923091538
257,-77.0193968575,day,500 - 598 block of g street sw,motor vehicle theft,38.8812762735
258,-77.0058863225,day,1000 - 1099 block of 1st street ne,motor vehicle theft,38.9031238461
259,-77.0190760988,evening,403 - 499 block of cedar street nw,motor vehicle theft,38.9747735899
260,-77.0239706017,midnight,1500 - 1599 block of 9th street nw,theft f/auto,38.9103814528
261,-77.0209271573,midnight,1600 - 1699 block of marion street nw,theft f/auto,38.9118864305
262,-76.982316025,evening,3033 - 3098 block of stanton road se,assault w/dangerous weapon,38.8523955812
263,-76.9226490106,evening,5400 - 5498 block of central avenue se,theft f/auto,38.886423084
264,-77.0158203399,evening,1900 - 1923 block of 3rd street nw,theft/other,38.9164995012
265,-77.0134678114,evening,104 - 199 block of rhode island avenue nw,theft f/auto,38.9152656545
266,-77.0288762125,evening,1131 - 1299 block of euclid street nw,theft f/auto,38.9237577149
267,-76.9902472552,evening,700 - 718 block of 12th street ne,theft f/auto,38.8992221581
268,-76.995063251,evening,3900 - 3999 block of 7th street ne,theft f/auto,38.9387600088
269,-76.9931501206,evening,900 - 999 block of rhode island avenue ne,theft/other,38.9222116506
270,-76.9739871994,evening,2200 - 2209 block of alabama avenue se,assault w/dangerous weapon,38.8510247406
271,-76.9892791209,midnight,1200 - 1299 block of maryland avenue ne,robbery,38.8977356937
272,-77.001707556,day,300  - 399 block of riggs road ne,theft f/auto,38.9577945906
273,-77.0239725818,evening,1900 - 1999 block of 9th street nw,theft/other,38.9162729049
274,-76.9826151743,day,812 - 899 block of bladensburg road ne,theft/other,38.9012751773
275,-77.031873007,day,2300 - 2398 block of 14th street nw,theft/other,38.920324765
276,-77.0090530223,evening,1200 - 1499 block of north capitol street,burglary,38.9076427724
277,-77.0319619643,midnight,1700 - 1720 block of 14th street nw,theft/other,38.912973942
278,-76.9572701525,midnight,134 - 199 block of kenilworth avenue ne,theft f/auto,38.8913774713
279,-76.9517477379,midnight,200 - 299 block of 36th street ne,sex abuse,38.8929698025
280,-77.0600944466,day,3000 - 3099 block of cambridge place nw,theft f/auto,38.9112783002
281,-76.9961725372,evening,900 - 999 block of 7th street ne,theft f/auto,38.9019160014
282,-76.9326283966,evening,4600 - 4699 block of hillside road se,theft/other,38.8764749952
283,-77.0338151818,day,1400 - 1499 block of park road nw,motor vehicle theft,38.9306297339
284,-77.0408588935,day,1130 - 1199 block of connecticut avenue nw,theft/other,38.9051969682
285,-76.9937613603,day,2300 - 2499 block of washington place ne,theft/other,38.9215811022
286,-77.0767775979,midnight,4100 - 4199 block of wisconsin avenue nw,motor vehicle theft,38.9426805302
287,-76.973034326,day,2100 - 2199 block of i street ne,assault w/dangerous weapon,38.9032551969
288,-77.0354173,day,1452 - 1499 block of irving street nw,robbery,38.9286384228
289,-77.0171642113,day,4200  - 4299 block of 4th street nw,motor vehicle theft,38.9426414261
290,-76.9143540567,day,6000 - 6099 block of clay street ne,assault w/dangerous weapon,38.8928853123
291,-76.9892778526,midnight,1200 - 1299 block of duncan place ne,homicide,38.8954365789
292,-76.9985002012,day,5200 - 5299 block of south dakota avenue ne,theft f/auto,38.9539210399
293,-77.0710447823,evening,2200 - 2298 block of wisconsin avenue nw,theft/other,38.9196589159
294,-76.9893593154,evening,1200 - 1299 block of girard street ne,motor vehicle theft,38.9265936435
295,-76.9973154556,day,600 - 669 block of pennsylvania avenue se,theft/other,38.8851343032
296,-77.0327305535,evening,3100 - 3299 block of 14th street nw,sex abuse,38.9295130123
297,-76.9343832408,evening,4600 - 4699 block of quarles street ne,theft f/auto,38.9106627622
298,-77.0663860975,evening,6000  - 6099 block of 33rd street nw,theft f/auto,38.969198221
299,-77.0246416186,day,900 - 931 block of u street nw,burglary,38.9169934322
300,-77.0753125628,evening,5523 - 5599 block of connecticut avenue nw,theft/other,38.9644454663
301,-76.9789199902,midnight,3411 - 3599 block of stanton road se,assault w/dangerous weapon,38.8438820428
302,-76.9916038469,evening,3850 - 3919 block of 9th street se,robbery,38.8328843235
303,-77.0307988327,midnight,1300 - 1399 block of wallach place nw,theft f/auto,38.9162803134
304,-76.9219003521,day,500 - 599 block of 55th street ne,theft f/auto,38.8964669245
305,-76.937992946,day,4400 - 4438 block of e street se,motor vehicle theft,38.8831712023
306,-76.965611841,midnight,3029 - 3299 block of buena vista terrace se,motor vehicle theft,38.8512567932
307,-77.0441472433,midnight,1 - 7 block of dupont circle nw,theft/other,38.9093576286
308,-76.9360887206,evening,1 - 99 block of 46th street se,robbery,38.8893320897
309,-76.9892793147,evening,1200 - 1299 block of independence avenue se,robbery,38.8875950537
310,-77.0173071977,midnight,400 - 419 block of rhode island avenue nw,theft/other,38.9139319154
311,-76.9195172216,evening,5620 - 5643 block of clay place ne,theft f/auto,38.8938318902
312,-76.964413194,day,2500 - 2599 block of south dakota avenue ne,burglary,38.9246569663
313,-77.0916110559,day,4600 - 4699 block of brandywine street nw,theft f/auto,38.9496918048
314,-76.9828454638,midnight,2400 - 2499 block of 15th place se,sex abuse,38.8544946246
315,-77.0280895894,evening,2000 - 2099 block of 12th street nw,theft f/auto,38.9175511707
316,-76.9696258818,evening,2300 - 2399 block of bladensburg road ne,theft f/auto,38.9208026055
317,-77.0408811202,midnight,1737 - 1776 block of columbia road nw,theft/other,38.9238622318
318,-77.0005877635,evening,900 - 999 block of 4th street se,motor vehicle theft,38.878836609
319,-77.0029855922,evening,200 - 240 block of massachusetts avenue ne,robbery,38.8949885964
320,-76.9926492415,day,600 - 699 block of 10th street ne,theft f/auto,38.8981207916
321,-77.0332627443,day,1400 - 1499 block of rhode island avenue nw,motor vehicle theft,38.9083793247
